Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,4.00000000000000008327e-03 with 64 bits of precision,8.21967254833625427111e+04 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,3.00000000000000006245e-03 with 64 bits of precision,1.5122732248509862626e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,2.00000000000000004163e-03 with 64 bits of precision,1.51227324274350796088e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.00000000000000088818e-03 with 64 bits of precision,2.20257921681125571723e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.00000000000000002082e-03 with 64 bits of precision,2.20257921681125571723e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,8.99999999999999975367e-04 with 64 bits of precision,2.20257921792903529663e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,8.00000000000000038337e-04 with 64 bits of precision,2.20257921908347599654e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,7.00000000000000101308e-04 with 64 bits of precision,2.20257922029731715227e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,6.00000000000000055858e-04 with 64 bits of precision,2.20257922162117638479e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,5.00000000000000010408e-04 with 64 bits of precision,2.20257922321486689782e+05 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,4.00000000000000073379e-04 with 64 bits of precision,4.45997967457609672738e+06 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,3.00000000000000027929e-04 with 64 bits of precision,4.45997967474161821792e+06 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.99999999999999982479e-04 with 64 bits of precision,2.2897138455261065681e+07 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.0000000000000004545e-04 with 64 bits of precision,3.82650747972031650861e+07 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.00000000000000004792e-04 with 64 bits of precision,3.82650747972031650861e+07 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,9.00000000000000056682e-05 with 64 bits of precision,1.18549002925265214886e+08 with 64 bits of precision]
